timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.0002839365042746067,0.0015418522190884687,-3.688874590396881,2.8550625e-07,0.0,-6.730404376983643,-0.0001824995437100796
600,0.0005850366433151066,0.0019442831049673258,-3.688873511552811,2.9861928e-07,0.0,-9.359622955322266,-0.0001719840335564493
800,4.6144123189151287e-07,0.0009502691740635782,-3.688871330022812,4.5508145e-07,0.0,-2.945789337158203,-0.00020353253352776158
1000,-0.0003254361799918115,0.0005651701940223575,-3.688870018720627,5.6207176e-07,0.0,-1.9710803031921387,-0.00022257421796074707
1200,-0.00018490153888706118,0.000686784972640453,-3.6888688802719116,3.7521124e-07,0.0,-4.8064093589782715,-0.00015302734164241994
1400,-0.0003604117373470217,0.0004878509738773573,-3.688868409395218,4.7326085e-07,0.0,-1.1140170097351074,-0.00025207533508888604
1600,-0.0004693427763413638,0.0006044803485565353,-3.6888680815696717,3.796816e-07,0.0,-10.224855422973633,-0.0001868594282026459
1800,-0.00010531939915381372,0.0004459850544662913,-3.688866674900055,4.4971705e-07,0.0,-9.509917259216309,-0.0002110185034712053
2000,-4.8507063183933496e-05,0.0005653699776303256,-3.6888661324977874,2.2023916e-07,0.0,-11.335477828979492,-0.00010449156190563968
2200,-0.00013614678755402565,0.0004979978117262363,-3.6888647615909576,2.1278858e-07,0.0,-8.19902229309082,-0.00011505131462508089
2400,-0.00026523444103077054,0.00040983772596518974,-3.6888645946979524,3.8206576e-07,0.0,-4.600607872009277,-0.0001639417080744554
2600,-0.00014604267198592424,0.00030671686909045093,-3.6888633549213408,4.4941902e-07,0.0,-2.683635950088501,-0.0002069426815858977
2800,-0.0001222440623678267,0.0003439406351390062,-3.688862603902817,4.23789e-07,0.0,-13.702619552612305,-0.00017169827182597074
3000,-0.0002866717695724219,0.0002726465441810433,-3.688862007856369,4.193187e-07,0.0,-7.237978935241699,-0.00015332902223395007
3200,-0.00021035646204836667,0.00038266494957497346,-3.6888613164424897,3.427267e-07,0.0,-9.947453498840332,-0.0001437035005750431
3400,-0.0003261214878875762,0.00034987581784662325,-3.6888616740703584,3.7699937e-07,0.0,-5.749465465545654,-0.00014993780866762174
3600,-0.0002465773723088205,0.00024023521655180957,-3.6888601899147035,3.8057567e-07,0.0,-4.702053070068359,-0.0001468898498158122
3800,-0.0003606414538808167,0.00043680699964170343,-3.688860332965851,5.203486e-07,0.0,-21.920761108398438,-0.0002173246524058259
4000,-0.0003404292219784111,0.00021550681412918493,-3.6888598263263703,4.2676925e-07,0.0,-6.104736804962158,-0.00018087339561900784
4200,-0.0005697864689864218,0.00018775119297060884,-3.6888583064079286,5.990267e-07,0.0,-1.586639165878296,-0.00020427104445399635
4400,-0.0003672323655337095,0.00013883029077987885,-3.688855928182602,4.1157006e-07,0.0,-4.743280410766602,-0.00019177032009380922
4600,-0.0003738225786946714,0.0002850937657058239,-3.6888548970222472,5.89788e-07,0.0,-11.534725189208984,-0.00021600171207154518
4800,-0.00037759364931844175,0.0002899878632888431,-3.6888552010059357,3.5971402e-07,0.0,-2.263059377670288,-0.000157268776919417
5000,-0.00010907690011663362,0.00020653966785175726,-3.6888526678085327,2.8431415e-07,0.0,-11.461862564086914,-0.00012197081804550258
5200,-0.0004218572867102921,0.00021723226855101528,-3.68885115981102,3.787875e-07,0.0,-6.66996431350708,-0.00015999031023739008
5400,-0.0003608986153267324,0.0002926500172179658,-3.688850086927414,4.9620866e-07,0.0,-14.701417922973633,-0.00021813398725714083
5600,-0.00021875837410334498,0.00021622853091685101,-3.688846170902252,4.208088e-07,0.0,-1.5044240951538086,-0.0001321833761690039
5800,-0.0002731434360612184,0.00020681319256254937,-3.688847762346268,3.3974646e-07,0.0,-3.073615074157715,-0.0001493680337716796
6000,-0.0003651378210633993,0.0001643790442358295,-3.6888479232788085,3.6478042e-07,0.0,-7.444419860839844,-0.0001598696420469503
6200,-0.0004038688784930855,0.00015887889749137684,-3.6888463616371157,3.9547683e-07,0.0,-2.1503639221191406,-0.00020782278503905793
6400,-0.00039315360481850803,0.0001671220828939113,-3.6888461649417876,4.6133997e-07,0.0,-3.6502108573913574,-0.00021841587109747707
6600,-0.0004526181728579104,0.00011829150371340802,-3.6888480603694918,4.1157006e-07,0.0,-3.2732510566711426,-0.00018458965286791696
6800,-0.0004138656659051776,0.0001746784359056619,-3.6888483822345735,4.297495e-07,0.0,-8.381309509277344,-0.00018641641846319778
7000,-0.0003444785252213478,0.00014966286107664928,-3.688848543167114,3.8921834e-07,0.0,-1.9112069606781006,-0.00018331464359584438
7200,-0.0004202855925541371,0.00013798206000501523,-3.688849264383316,4.1663648e-07,0.0,-4.987498760223389,-0.00018335411873433572
7400,-0.00026709274970926344,9.29010467189073e-05,-3.6888501048088074,3.606081e-07,0.0,-2.759009838104248,-0.00015437418198700482
7600,-0.0004803211195394397,0.00011645390877674799,-3.688849985599518,4.7624113e-07,0.0,-3.6136221885681152,-0.00018437513519711234
7800,-0.0004909875569865108,0.00012934300484630513,-3.68884796500206,5.304813e-07,0.0,-3.0394821166992188,-0.00020135971991499523
8000,-0.00027536426205188036,9.094704255403485e-05,-3.688847815990448,2.0503998e-07,0.0,-7.170585632324219,-9.770944599305498e-05
8200,-0.0003857746778521687,0.00012914495328004706,-3.6888462126255037,3.9160253e-07,0.0,-0.8197486400604248,-0.0001721934817085713
8400,-0.00019248372700531036,0.0001118800142648979,-3.6888459980487824,4.1425227e-07,0.0,-2.321805238723755,-0.00017723235517883574
