algo,reward,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
fixed,-,-,17.12638888888889,299.6791666666667,4.4394781454468895,6.566499525046415,2001,114.99500249875062,-2.574529568795697
random,-,0,19.711111111111112,305.8263888888889,3.87642268205173,5.921740022261746,1990,131.10301507537687,-2.7349462260172004
webster,-,-,45.84888888888889,612.6719444444444,4.3158872924978535,3.6336973826964702,1934,223.435367114788,0.0
ddqn,pressure,s1234,1.9305555555555556,5.531944444444444,0.10481245570343027,8.581414173509204,2017,87.67724343083788,-0.30880375847482355
ddqn,pressure,s2025,2.1486111111111112,5.881944444444445,0.11192096804132391,8.539066030381004,2016,88.57886904761905,-0.34018816624302417
ddqn,pressure,s314,2.1069444444444443,5.691666666666666,0.1086968266168455,8.505037309932588,2017,88.91918691125434,-0.3437835953809554
ddqn,pressure,s123,2.4180555555555556,7.891666666666667,0.15190766044443144,8.456486907386143,2015,89.18610421836229,-0.39096101433824515
ddqn,pressure,s2718,2.186111111111111,6.940277777777778,0.12417403357513786,8.448872216639074,2016,89.49652777777777,-0.35141128570830915
ddqn,queue,s1234,3.254166666666667,12.475,0.23427304054910675,8.189065732800172,2014,92.12264150943396,-0.5014448844885919
ddqn,pressure,s5678,1.9416666666666667,5.509722222222222,0.10019001638649587,8.459845574915672,2017,88.99355478433317,-0.3074596716542146
ddqn,queue,s123,1.9972222222222222,6.429166666666666,0.11187455837945362,8.481209507106469,2017,88.93901834407536,-0.3191196176048834
ddqn,pressure,s777,1.9416666666666667,5.509722222222222,0.10019001638649587,8.459845574915672,2017,88.99355478433317,-0.3074596716542146
ddqn,pressure,s42,2.334722222222222,8.334722222222222,0.14224857717807568,8.44690543716401,2015,89.43176178660049,-0.3786290239804657
ddqn,pressure,s9999,2.576388888888889,8.493055555555555,0.1635331463060383,8.34161544540795,2016,90.2827380952381,-0.41575940352049656
ddqn,pressure,s999,2.2472222222222222,7.565277777777778,0.1389396688895616,8.383970266884225,2014,89.72442899702085,-0.36528897206881084
ddqn,queue,s2025,2.147222222222222,7.044444444444444,0.1261428557799193,8.45823411218265,2017,89.15716410510659,-0.34022176790313097
ddqn,queue,s5678,1.913888888888889,5.934722222222222,0.11355482976810806,8.505329594309387,2014,88.30685203574976,-0.3027889728109585
ddqn,queue,s314,2.0805555555555557,6.065277777777778,0.11833667428590017,8.5389741193178,2013,87.9905613512171,-0.33692875812994316
ddqn,queue,s2718,3.001388888888889,30.895833333333332,0.6527921725843887,8.351418214887685,2013,89.85345255837059,-0.47258063854678767
ddqn,queue,s777,2.720833333333333,8.131944444444445,0.15538850116230973,8.4629687093025,2013,88.42026825633383,-0.4150537551322486
ddqn,queue,s999,2.3819444444444446,7.593055555555556,0.1422818522939173,8.427758581016178,2016,89.73214285714286,-0.3857190790295135
ddqn,queue,s9999,2.0833333333333335,7.761111111111111,0.13093540493376146,8.483423294235791,2014,89.25273088381331,-0.33094757416984066
ddqn,wait-clip,s1234,2.076388888888889,5.397222222222222,0.0993115204317119,8.46439484494466,2014,89.35700099304866,-0.3280577894038288
ddqn,wait-clip,s123,11.780555555555555,15397.752777777778,267.9885870317031,6.937059982180555,1999,91.23561780890445,-1.740692216772004
ddqn,wait-clip,s2025,2.063888888888889,5.865277777777778,0.1121034057417316,8.477708589337503,2013,88.93939393939394,-0.3309475732894498
ddqn,wait-clip,s314,2.1569444444444446,6.188888888888889,0.1159013697415544,8.417858917718338,2015,89.6501240694789,-0.3601142400802928
ddqn,wait-clip,s5678,2.1569444444444446,6.188888888888889,0.1159013697415544,8.417858917718338,2015,89.6501240694789,-0.3601142400802928
ddqn,wait-clip,s42,2.063888888888889,5.865277777777778,0.1121034057417316,8.477708589337503,2013,88.93939393939394,-0.3309475732894498
ddqn,wait-clip,s2718,11.8,15401.0125,267.3541773679663,6.9352080242269745,1997,91.3169754631948,-1.7451276993087959
ddqn,wait-clip,s777,2.076388888888889,5.397222222222222,0.0993115204317119,8.46439484494466,2014,89.35700099304866,-0.3280577894038288
ddqn,wait-clip,s999,2.584722222222222,23.920833333333334,0.5096073809703519,8.330826838151042,2014,90.42949354518372,-0.48511424324533436
ddqn,queue,s42,4.076388888888889,29.625,0.6552190423423052,7.898720942852684,2011,96.09149676777723,-0.6498319867023383
ddqn,wait-clip,s9999,2.0055555555555555,6.0680555555555555,0.10773309013804636,8.483693491237341,2015,88.97022332506204,-0.315456983364129
dqn,pressure,s123,2.102777777777778,5.591666666666667,0.10389203505189804,8.500685545091814,2015,88.91315136476427,-0.33427418749488425
dqn,pressure,s1234,2.140277777777778,7.441666666666666,0.14489455480302693,8.772009979176156,2014,84.76166832174776,-0.3348454210718046
dqn,pressure,s2025,1.9736111111111112,5.615277777777778,0.10634010227827267,8.502874230075594,2016,88.84424603174604,-0.30907257419312373
dqn,pressure,s2718,2.5430555555555556,8.36111111111111,0.1557102822783525,8.364292358290795,2014,90.24826216484608,-0.42029569298028946
dqn,pressure,s314,2.048611111111111,5.366666666666666,0.10164462941351553,8.474889453644435,2014,89.06405163853029,-0.3285618210793473
dqn,pressure,s42,2.2444444444444445,6.480555555555555,0.12325116437146938,8.425759445298173,2015,89.39205955334988,-0.36790993888280354
dqn,pressure,s5678,2.5180555555555557,7.823611111111111,0.14656288136989415,8.438779184031707,2015,89.21339950372209,-0.40594757381040836
dqn,pressure,s9999,2.5180555555555557,7.823611111111111,0.14656288136989415,8.438779184031707,2015,89.21339950372209,-0.40594757381040836
dqn,queue,s1234,2.186111111111111,7.916666666666667,0.1483533904107301,8.538279810366308,2016,88.41021825396825,-0.3535618214227725
dqn,pressure,s777,1.8597222222222223,4.686111111111111,0.08755628800121588,8.573342510696959,2016,87.50744047619048,-0.2907930061192019
dqn,pressure,s999,2.111111111111111,6.3597222222222225,0.1228248277940916,8.518568485976726,2018,88.62239841427156,-0.33373655429750215
dqn,queue,s123,2.7430555555555554,8.438888888888888,0.16262989888323098,8.334182669833872,2014,90.37984111221449,-0.4321572517947061
dqn,queue,s2025,2.111111111111111,6.3597222222222225,0.1228248277940916,8.518568485976726,2018,88.62239841427156,-0.33373655429750215
dqn,queue,s314,1.9375,5.513888888888889,0.1046657511822124,8.548354052267412,2015,88.26302729528535,-0.3037634333668393
dqn,queue,s42,2.109722222222222,6.852777777777778,0.12887481572103832,8.556526498370626,2014,87.9940417080437,-0.33840725022309925
dqn,queue,s5678,3.076388888888889,11.348611111111111,0.2100963039245407,8.509594254350374,2011,87.5161611138737,-0.4807459632138489
dqn,queue,s777,2.1569444444444446,6.1930555555555555,0.11824218625172547,8.44443198888524,2014,89.49106256206554,-0.3476478455995675
