timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.07229498028755188,0.14182768110185862,-3.6888746857643127,4.6163797e-07,0.0,-3.0954055786132812,-0.00026002530683246763
600,0.07684514671564102,0.13625269159674644,-3.688874453306198,2.2739172e-07,0.0,-2.6626687049865723,-0.00017414089358958051
800,0.05919216200709343,0.11865846198052168,-3.6888730585575105,2.9385092e-07,0.0,-4.155139446258545,-0.00019700154626684508
1000,0.05799754709005356,0.12132684271782637,-3.688871866464615,2.9742716e-07,0.0,-6.362556457519531,-0.0001781782223356565
1200,0.061144597828388214,0.10852422136813403,-3.688872069120407,3.2126903e-07,0.0,-3.523439884185791,-0.00020127825761028227
1400,0.040859077125787735,0.08733082823455333,-3.6888726353645325,2.461672e-07,0.0,-3.0103225708007812,-0.00015569085837796592
1600,0.0379883237183094,0.09266439694911241,-3.6888715028762817,5.334616e-07,0.0,-4.865355014801025,-0.00027714134804613934
1800,0.045864004641771317,0.0952080462127924,-3.688870441913605,5.221367e-07,0.0,-4.4926300048828125,-0.000249474853394982
2000,0.033646054565906525,0.08708969336003065,-3.688870757818222,3.734231e-07,0.0,-7.447573661804199,-0.00022452819545452086
2200,0.03344729170203209,0.06894112024456263,-3.6888700842857363,3.1411648e-07,0.0,-2.2916359901428223,-0.00019344958574687431
2400,0.03403943404555321,0.07956875190138817,-3.6888676047325135,3.4481286e-07,0.0,-11.532821655273438,-0.00016353201774825797
2600,0.035562194883823395,0.06567806946113705,-3.688867783546448,6.508827e-07,0.0,-2.9674699306488037,-0.0002501462095351625
2800,0.03218257427215576,0.06941424291580915,-3.6888674437999724,3.2007694e-07,0.0,-7.363065719604492,-0.0001854457588014391
3000,0.029344802722334862,0.05983672384172678,-3.6888670444488527,3.9726496e-07,0.0,-5.774454116821289,-0.00023002660495226036
3200,0.03131561726331711,0.05783151062205434,-3.6888662219047545,6.9081784e-07,0.0,-10.16834831237793,-0.0002688023752156155
3400,0.02229866199195385,0.05276404339820147,-3.6888662815093993,4.631281e-07,0.0,-5.5260515213012695,-0.0002391178293739138
3600,0.022972004488110542,0.05037434054538607,-3.688865876197815,3.8444995e-07,0.0,-7.379974365234375,-0.00020139440874209492
3800,0.018545448780059814,0.03480385215952993,-3.688866597414017,7.048249e-07,0.0,-2.7693030834198,-0.000233683809769758
4000,0.012707378715276718,0.03382608504034579,-3.6888659298419952,6.2674286e-07,0.0,-2.2817766666412354,-0.00025985507768613305
4200,0.018019039183855057,0.03505464172922075,-3.6888658821582796,3.4630298e-07,0.0,-3.460150718688965,-0.00018070060122634679
4400,0.01616375707089901,0.029190883925184607,-3.6888648152351378,6.249547e-07,0.0,-6.791504383087158,-0.000268371297486969
4600,0.013489623554050922,0.02882250929251313,-3.6888643324375154,5.066395e-07,0.0,-8.518488883972168,-0.000246573805543715
4800,0.008264392614364624,0.021503261267207564,-3.6888637363910677,6.1392785e-07,0.0,-2.871251106262207,-0.00023453533556767604
5000,0.009678225964307785,0.020890956232324242,-3.68886222243309,4.068017e-07,0.0,-2.560520887374878,-0.00020864266164437594
5200,0.010167235508561134,0.022721491334959865,-3.688859897851944,5.3346156e-07,0.0,-9.32296371459961,-0.00024892813059830267
5400,0.006322761997580528,0.015512679237872362,-3.6888581573963166,5.9843063e-07,0.0,-2.4140310287475586,-0.00024133141199036423
5600,0.008391623385250568,0.017488248297013342,-3.6888572096824648,4.9293044e-07,0.0,-5.486666679382324,-0.00023032547522217062
5800,0.0045611681416630745,0.014118696050718426,-3.688858312368393,5.4985287e-07,0.0,-4.713971138000488,-0.00025194206823844214
6000,0.003927653655409813,0.010887133376672863,-3.6888592720031737,7.1436165e-07,0.0,-2.637735366821289,-0.0002929828314961469
6200,0.004642884712666273,0.012189619312994181,-3.688857078552246,5.4597854e-07,0.0,-7.792899131774902,-0.00023885205114538844
6400,0.003938719164580107,0.009857688308693468,-3.688855695724487,6.565451e-07,0.0,-5.484646320343018,-0.00025487741076291037
6600,0.003097148612141609,0.008212395769078285,-3.6888555109500887,2.8312206e-07,0.0,-6.794310092926025,-0.00015062239794572108
6800,0.0021755120251327753,0.006757140392437577,-3.688855177164078,6.1631204e-07,0.0,-4.707877159118652,-0.00023842641706885991
7000,0.0027630990371108055,0.006407620967365801,-3.6888544082641603,3.8266182e-07,0.0,-4.252547740936279,-0.00018949469758365866
7200,0.0013360998127609491,0.005538316967431456,-3.6888533413410185,3.3408404e-07,0.0,-6.895655155181885,-0.00017923348946826678
7400,0.0015710932202637196,0.0039527569781057535,-3.6888541877269745,4.5359135e-07,0.0,-2.5716371536254883,-0.00019415143196201967
7600,0.0007155031198635697,0.003848430747166276,-3.6888540208339693,8.162856e-07,0.0,-4.603323459625244,-0.0003102702494480969
7800,0.0007722981390543282,0.003085501486202702,-3.688854289054871,7.7784057e-07,0.0,-4.672210693359375,-0.0002767041842617779
8000,0.0006058103172108531,0.0030172202503308656,-3.688851737976074,7.668138e-07,0.0,-9.022750854492188,-0.00025916540789712174
8200,0.0004949517897330225,0.0023092267307220026,-3.6888530552387238,3.4540892e-07,0.0,-3.1533737182617188,-0.0001810984155058648
8400,0.00025722425198182464,0.0023083191859768703,-3.6888503611087797,4.4405462e-07,0.0,-7.113380432128906,-0.000184401913804777
8600,0.0003540182369761169,0.0017953843635041267,-3.688849985599518,4.002452e-07,0.0,-4.140318870544434,-0.0001943176391011825
8800,0.00013892361312173307,0.0015554519079159946,-3.6888510286808014,5.2750113e-07,0.0,-6.652698040008545,-0.00023466246474024288
9000,-0.00011334897135384381,0.0012958410530700347,-3.68884996175766,5.26011e-07,0.0,-7.673281669616699,-0.00021428026298853098
9200,-0.0001559268857818097,0.0011549689239473081,-3.688852292299271,3.4570695e-07,0.0,-3.9316983222961426,-0.00017178924233429704
9400,-1.9585713744163513e-06,0.0008989691516035237,-3.688851368427277,3.582239e-07,0.0,-13.493573188781738,-0.00017064686014469643
9600,-1.1442869435995817e-05,0.0008161207690136508,-3.68885201215744,3.939867e-07,0.0,-5.78583288192749,-0.00021056912716890252
9800,-0.0002845044946298003,0.0007689342703088187,-3.6888524651527406,5.838275e-07,0.0,-13.388795852661133,-0.00024671320827884813
10000,-0.00015547493239864707,0.000667631154647097,-3.688852047920227,3.865361e-07,0.0,-1.0706310272216797,-0.0001919630754493973
10200,-0.0003682591486722231,0.0005757035032729618,-3.688851022720337,4.1604042e-07,0.0,-1.5170600414276123,-0.0002187195878338599
10400,-0.00036007448215968907,0.00034021559076791164,-3.6888507127761843,4.4643883e-07,0.0,-3.465599536895752,-0.00022805904101226294
10600,-0.00045314442832022905,0.00037748861395812126,-3.6888518571853637,4.917383e-07,0.0,-0.41048169136047363,-0.0002315035893002193
10800,-0.0003261445672251284,0.0003753291355678812,-3.688853394985199,5.421042e-07,0.0,-1.5836007595062256,-0.00022590942611344644
11000,-0.0001979515509447083,0.0003673667168186512,-3.688850927352905,3.388524e-07,0.0,-1.359494924545288,-0.0001609516305247638
11200,-0.00037519392208196223,0.000390623630664777,-3.688851201534271,4.1157008e-07,0.0,-0.35491085052490234,-0.00022367636870690433
11400,-0.0003236178308725357,0.00024906220169214067,-3.68885098695755,4.467368e-07,0.0,-0.29616785049438477,-0.00020345197576574492
11600,-0.0003714693011716008,0.00040993920920300296,-3.6888519287109376,3.4481286e-07,0.0,0.019876480102539062,-0.00018338292190767103
11800,-0.0003870964574161917,0.0002499723337678006,-3.6888483464717865,4.610419e-07,0.0,-1.6786420345306396,-0.0002109184857571389
12000,-0.0005938903195783496,0.00017331594826828223,-3.688848447799683,5.3584574e-07,0.0,-1.5067691802978516,-0.00026287213092950344
12200,-0.0004139274242334068,0.00021896978651056998,-3.688846933841705,3.641844e-07,0.0,-0.5457807779312134,-0.00019151578858576102
