timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.08104593306779861,0.16453338898718356,-3.6888758838176727,2.7656554e-07,0.0,-16.533714294433594,-0.0001894874876894659
600,0.07183077931404114,0.1442946096882224,-3.688873440027237,2.6524066e-07,0.0,-14.011022567749023,-0.00015629556004079782
800,0.05745901167392731,0.11176148243248463,-3.68887283205986,3.6686657e-07,0.0,-8.394776344299316,-0.00021014267192924762
1000,0.06353317201137543,0.12040092069655657,-3.6888721108436586,3.486872e-07,0.0,-21.36260414123535,-0.00018444690098933235
1200,0.04820308834314346,0.10105734188109636,-3.688871681690216,4.2349103e-07,0.0,-13.383785247802734,-0.00020744308803251067
1400,0.04438263550400734,0.08674804419279099,-3.6888717830181124,5.289912e-07,0.0,-40.07219314575195,-0.0002728993298785953
1600,0.04626097157597542,0.08887046109884977,-3.688870984315872,3.4123659e-07,0.0,-38.14224624633789,-0.00021840435350442
1800,0.03790735825896263,0.08179170973598957,-3.6888705790042877,2.604723e-07,0.0,-65.80430603027344,-0.00015117842047449593
2000,0.041673388332128525,0.07454264629632235,-3.688870757818222,3.811717e-07,0.0,-16.142860412597656,-0.00020020052895404207
2200,0.03582601994276047,0.07328618504106998,-3.688869076967239,5.9753654e-07,0.0,-11.657684326171875,-0.00028359806497884054
2400,0.03289547190070152,0.06623870860785246,-3.6888684034347534,4.0352344e-07,0.0,-13.679483413696289,-0.00020028975718102692
2600,0.024666931480169296,0.0625240882858634,-3.6888678133487702,3.7372112e-07,0.0,-13.500544548034668,-0.00017677718299500267
2800,0.022518184036016464,0.055488999001681805,-3.6888669431209564,6.300211e-07,0.0,-14.919760704040527,-0.000248390554798783
3000,0.02555580623447895,0.05231831632554531,-3.688865715265274,4.0411948e-07,0.0,-24.088003158569336,-0.0002027921679597311
3200,0.02259686589241028,0.04460150841623545,-3.688864541053772,2.8818846e-07,0.0,-10.12932014465332,-0.00014989121256951953
3400,0.020968936383724213,0.036880771489813925,-3.6888642728328707,5.0336126e-07,0.0,-11.422002792358398,-0.0002501051737738624
3600,0.013325536623597145,0.03333304501138627,-3.6888625979423524,5.2571295e-07,0.0,-13.649962425231934,-0.00025587046031796403
3800,0.012297029606997967,0.03323733750730753,-3.688861918449402,4.968047e-07,0.0,-17.453872680664062,-0.00025575087934703866
4000,0.015176410786807537,0.029504814371466636,-3.688860845565796,8.2552435e-07,0.0,-7.364506721496582,-0.0003235862838346204
4200,0.013198623433709145,0.027197304042056204,-3.688860869407654,4.5359135e-07,0.0,-17.886009216308594,-0.0002480941792737168
4400,0.01106497272849083,0.02548668864183128,-3.6888598561286927,4.133582e-07,0.0,-21.981014251708984,-0.00018042919148075764
4600,0.008357864804565907,0.019619236048310996,-3.6888606548309326,4.646182e-07,0.0,-62.636627197265625,-0.00022045005944710817
4800,0.00878674816340208,0.018968927091918886,-3.688860011100769,3.9815905e-07,0.0,-30.289701461791992,-0.00022474010229796005
5000,0.005110007710754871,0.01597738836426288,-3.6888601303100588,4.8100947e-07,0.0,-12.834795951843262,-0.00020248904794559764
5200,0.005801602266728878,0.013975548790767789,-3.688860315084457,7.814169e-07,0.0,-35.515987396240234,-0.00032155752546600966
5400,0.00534506980329752,0.013410734431818127,-3.6888583302497864,4.6283006e-07,0.0,-44.67652893066406,-0.00017876368909583996
5600,0.004752621054649353,0.01063036429695785,-3.6888578832149506,5.069375e-07,0.0,-47.99196243286133,-0.0002581356774843391
5800,0.0041593750938773155,0.00924053625203669,-3.6888559818267823,5.230308e-07,0.0,-48.17320251464844,-0.0002557377522965698
6000,0.0025476908776909113,0.007287076662760228,-3.688854533433914,6.914139e-07,0.0,-34.91377639770508,-0.00027102644726091364
6200,0.002558129606768489,0.006181799212936312,-3.688852232694626,5.719066e-07,0.0,-13.626399993896484,-0.00022447927040842864
6400,0.0016456437297165394,0.005087665712926537,-3.688851672410965,5.4180623e-07,0.0,-31.133342742919922,-0.00024568247840557335
6600,0.0009363599237985909,0.004319415747886524,-3.6888501763343813,1.0675192e-06,0.0,-31.74713134765625,-0.00035208231996533004
6800,0.0006009982316754758,0.0036186681885737927,-3.688850909471512,8.031726e-07,0.0,-34.3473014831543,-0.0003076151643471081
7000,0.0007626945152878761,0.0029748110100626945,-3.6888500690460204,4.8011543e-07,0.0,-22.76967430114746,-0.0002398754942515069
7200,0.0006164474179968238,0.002347576868487522,-3.6888502657413484,2.968311e-07,0.0,-36.41819763183594,-0.0001740342517528415
7400,1.0807299986481667e-05,0.0017688623600406572,-3.688851010799408,5.2988526e-07,0.0,-11.433947563171387,-0.0002935486123492481
7600,0.00018939122674055398,0.001505761477164924,-3.6888508260250092,4.044175e-07,0.0,-7.539207458496094,-0.0002010974140916888
7800,-3.652903251349926e-05,0.0013270268435007892,-3.6888527393341066,6.5803533e-07,0.0,-7.790136337280273,-0.00023075392989015952
8000,-0.0001877627510111779,0.000996477043372579,-3.68885338306427,4.10378e-07,0.0,-9.329955101013184,-0.00021291292347598302
8200,-0.00020652200328186154,0.0008287656237371266,-3.6888529777526857,3.6269427e-07,0.0,-9.914193153381348,-0.00020791388829320966
8400,-8.941846317611635e-05,0.0007718545661191456,-3.6888516902923585,3.6984682e-07,0.0,-6.7223968505859375,-0.00019523826206082617
8600,-5.5396638344973326e-05,0.0005790915929537732,-3.68884961605072,2.9087067e-07,0.0,-7.253559112548828,-0.00014761793585420512
8800,-0.00017109533655457199,0.0005463569446874317,-3.6888495206832888,3.9905308e-07,0.0,-15.921388626098633,-0.00021161135936984544
9000,-0.00039179492159746587,0.0004402307691634633,-3.688849741220474,2.8461218e-07,0.0,-6.949389457702637,-0.0001611245857842558
9200,-0.00021380549878813326,0.00033995805060840214,-3.6888494789600372,3.349781e-07,0.0,-3.5497097969055176,-0.0001820469644808087
9400,-0.00032761896727606654,0.0002784487118333345,-3.688850051164627,3.7163494e-07,0.0,-3.4335813522338867,-0.00019857014598345657
9600,-0.00025424041086807847,0.0002527348999137757,-3.688849598169327,3.9696693e-07,0.0,-2.9004759788513184,-0.0002085405785560379
9800,-0.0003659625072032213,0.00018130665266653524,-3.688849318027496,2.9861926e-07,0.0,-2.626962423324585,-0.00018797938565633386
10000,-0.00017271672550123185,0.0002204644230005215,-3.6888480186462402,2.7924776e-07,0.0,-2.27762770652771,-0.00015102799039314884
10200,-0.0002912147610913962,0.00019215432712371694,-3.688846784830093,5.295873e-07,0.0,-1.7850165367126465,-0.00021361999456352975
10400,-0.00017763352661859244,0.00014884315933159087,-3.688847464323044,2.5659799e-07,0.0,-1.0780572891235352,-0.0001532172461596204
10600,-0.00032987259328365326,0.00013287946003401885,-3.6888485133647917,4.976988e-07,0.0,-1.0415568351745605,-0.00024039135332487582
10800,-0.00039588066283613443,8.536072746210266e-05,-3.68884699344635,3.308058e-07,0.0,-0.8966414928436279,-0.00017042346319557923
11000,-0.00012003853044006974,0.0001155089386884356,-3.6888477325439455,2.3126603e-07,0.0,-0.7506495714187622,-0.00012383869238448143
11200,-0.00042025925358757377,0.000105701984193729,-3.688846004009247,3.322959e-07,0.0,-0.8750044107437134,-0.00015576009491837794
11400,-0.00018156744772568345,0.00012825446283386553,-3.688846802711487,2.0623206e-07,0.0,-1.4700815677642822,-0.00012341511981492915
11600,-0.00038748246151953936,7.864148656153703e-05,-3.6888478338718413,2.7984382e-07,0.0,-0.9133378267288208,-0.0001520422990954895
11800,-0.0003247557324357331,7.603231006214628e-05,-3.688845533132553,3.120303e-07,0.0,-0.4951143264770508,-0.00016601835332683557
12000,-0.00038814314757473767,5.2768604291486554e-05,-3.6888464093208313,3.0457974e-07,0.0,-1.1863133907318115,-0.00016230265022501022
12200,-0.0005428162403404713,9.0177443689754e-05,-3.6888451278209686,4.3421983e-07,0.0,-0.7574466466903687,-0.00022631250183735574
12400,-0.0002459042298141867,7.995198211574461e-05,-3.688845431804657,2.014637e-07,0.0,-1.1217117309570312,-0.00010724759032019194
12600,-0.0002436629729345441,6.150732506284839e-05,-3.688846355676651,2.6345253e-07,0.0,-1.3289148807525635,-0.00016416770278822047
12800,-0.00015081460878718644,5.9456165672600036e-05,-3.6888456881046294,2.4944543e-07,0.0,-0.8650799989700317,-0.00013765008766449815
13000,-0.00010976936755469069,5.272927296573471e-05,-3.6888444781303407,2.69115e-07,0.0,-1.0513265132904053,-0.00013919721499564553
13200,-0.0004488718695938587,5.735676531912759e-05,-3.688843530416489,3.376603e-07,0.0,-0.6340949535369873,-0.00016645813024820377
13400,-0.00035600762930698693,4.500709610510967e-05,-3.6888419091701508,3.397465e-07,0.0,-0.9313948154449463,-0.00016015596882787975
13600,-0.00010377079161116853,5.592656880253344e-05,-3.6888439655303955,1.9013882e-07,0.0,-1.667393445968628,-9.951336710072312e-05
13800,-0.0003317962109576911,7.629685387655627e-05,-3.6888446152210235,3.1501054e-07,0.0,-0.7962009906768799,-0.0001694504379534556
14000,-0.0004802725452464074,5.598802890744991e-05,-3.6888429820537567,3.3259394e-07,0.0,-0.7995003461837769,-0.00016378432464900783
14200,-0.00027368104201741517,6.864968854642939e-05,-3.688844603300095,2.6971102e-07,0.0,-1.052926778793335,-0.00014648394210901028
14400,-0.00019221025286242366,6.272465170695796e-05,-3.6888446509838104,1.8775462e-07,0.0,-0.789366602897644,-0.0001234673570370326
