step,mean_queue,mean_wait,mean_speed
100000,36.55833333333333,226.36944444444444,2.0372560472304544
10000,112.65555555555555,60348.944444444445,1.6145262184481188
110000,36.172222222222224,197.5638888888889,2.0225072771715116
120000,35.419444444444444,562.7055555555555,2.0208688029445927
130000,37.325,213.81666666666666,2.0098909155971154
140000,36.68888888888889,327.6388888888889,2.030172951341227
150000,37.59166666666667,217.15555555555557,1.9972036514507654
160000,37.583333333333336,221.58333333333334,1.9921776460226945
170000,34.30833333333333,471.14722222222224,2.0482125714410238
180000,34.202777777777776,189.55555555555554,2.0915584983717475
190000,35.227777777777774,198.65555555555557,2.0485759506402457
200000,36.858333333333334,204.19444444444446,2.002829671687706
20000,51.86666666666667,14703.469444444445,1.760837603806538
30000,51.897222222222226,14676.691666666668,1.7598403610066737
40000,46.725,4156.480555555556,1.8270354198818899
50000,43.11666666666667,2412.586111111111,1.8812258540687143
60000,34.78888888888889,565.2861111111112,2.017906850844414
70000,41.225,1108.2305555555556,1.9119419584642685
80000,40.708333333333336,1187.3555555555556,1.919688855582493
90000,41.102777777777774,1319.5638888888889,1.9208395658838993
999999,36.388888888888886,200.41944444444445,2.0106474804587764
