algo,reward,obs_mode,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
random,-,-,-,63.80555555555556,1112.0222222222221,9.657456734829616,1.6872349293544244,4609,173.08960729008461,-63.80555555555556
fixed,-,-,-,86.74027777777778,4066.7708333333335,36.66676685394779,1.9237810297056865,5183,151.42967393401506,-86.74027777777778
webster,-,-,-,86.90833333333333,1267.4006944444445,10.739184019444107,0.8388501392629415,2356,349.50169779286927,-86.90833333333333
ddqn,pressure,resco,s123,29.277922077922078,216.57337662337662,7.429209102719787,2.7631766824260846,7919,105.08586942795807,-1111.6533333333339
ddqn,pressure,resco,s42,136.2344155844156,236457.45584415583,1567.6376949584844,1.1009126214102998,3628,141.92116868798237,-7599.803333333333
ddqn,pressure,resco,s777,28.677922077922076,262.6532467532468,9.585597082135445,2.782169485840507,8022,104.24083769633508,-1348.0733333333337
ddqn,pressure,resco,s999,57.12987012987013,2041.2025974025973,36.534091188561206,2.4187580688257104,8628,120.52851182197496,-6991.906666666664
ddqn,queue,resco,s123,29.277922077922078,216.57337662337662,7.429209102719787,2.7631766824260846,7919,105.08586942795807,-1111.6533333333339
ddqn,queue,resco,s42,136.2344155844156,236457.45584415583,1567.6376949584844,1.1009126214102998,3628,141.92116868798237,-7599.803333333333
ddqn,queue,resco,s777,28.677922077922076,262.6532467532468,9.585597082135445,2.782169485840507,8022,104.24083769633508,-1348.0733333333337
ddqn,queue,resco,s999,57.12987012987013,2041.2025974025973,36.534091188561206,2.4187580688257104,8628,120.52851182197496,-6991.906666666664
ddqn,wait-clip,resco,s123,31.668181818181818,147.59350649350648,4.501729728916591,2.3325442257675753,6723,124.24289751598988,-757.6366666666686
ddqn,wait-clip,resco,s2025,36.71168831168831,425.21623376623376,11.286294940747188,3.0277289766522486,8742,96.0443834362846,-2175.486666666666
ddqn,wait-clip,resco,s2718,27.036363636363635,308.03311688311686,10.819590504493444,3.3663898520586177,8308,90.56090515166105,-1580.1500000000017
ddqn,wait-clip,resco,s314,28.252597402597402,267.2038961038961,8.576456691656778,3.4239035272248213,8253,88.26850842118017,-1371.4533333333338
ddqn,wait-clip,resco,s42,28.913636363636364,156.07402597402597,5.316478487241553,2.67952743364048,7641,108.27836670592855,-801.1599999999999
ddqn,wait-clip,resco,s777,26.566233766233765,142.1487012987013,5.354845342022572,2.6561376641585754,7623,109.11714548078184,-729.5100000000002
ddqn,wait-clip,resco,s999,30.168181818181818,434.1441558441558,14.800245263880033,2.9694633057994704,8353,100.74464264336167,-2228.1066666666684
