algo,reward,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
random,-,0,19.9,792.9847222222222,8.215322227620584,5.2913532386167175,2813,98.4091717028084,-28.398148274214083
fixed,-,-,14.468055555555555,426.7888888888889,6.759419493807879,6.378454969489724,2800,76.11964285714286,-20.431111353071174
webster,-,-,33.37638888888889,669.6172222222223,6.181335565917887,3.7831084731405555,2743,133.45060153117026,0.0
ddqn,pressure,s123,1.7638888888888888,35.84305555555556,0.5187707445318789,9.135785290999022,2821,53.817795108117686,-3.24333347051288
ddqn,pressure,s314,35.18472222222222,29045.0375,335.3498319402,3.9754889657454275,2575,87.02135922330098,-69.05629730276996
ddqn,pressure,s42,16.586111111111112,33139.90138888889,188.6177653913144,5.387065630279637,2530,55.37154150197628,-21.584444677835563
ddqn,pressure,s777,27.416666666666668,612.4402777777777,8.05811323512928,4.754037947721525,2788,98.64956958393114,-50.76222222158685
ddqn,pressure,s999,6.716666666666667,149.4152777777778,1.9804907601944282,7.994969438404488,2821,64.52499113789436,-11.141481546132127
ddqn,queue,s123,24.970833333333335,52012.884722222225,249.5693372553901,4.815988175377381,2442,53.60974610974611,-31.94814848425449
ddqn,queue,s314,1.9375,46.46805555555556,0.658783291962885,9.003549784623997,2823,55.83776124690046,-3.4674075478396844
ddqn,queue,s42,1.9347222222222222,57.99166666666667,0.7877584770727121,8.934155602837444,2822,56.31821403260099,-3.4833334700088017
ddqn,queue,s777,1.9930555555555556,58.52916666666667,0.7241633008746754,8.896552987279984,2823,56.6365568544102,-3.5366668294591364
ddqn,queue,s999,42.43333333333333,74142.66944444444,765.2217974745458,3.865919415086253,2489,56.986741663318604,-68.55518534826115
ddqn,wait-clip,s123,1.898611111111111,52.91111111111111,0.7176864065484089,8.942445121092085,2820,55.59574468085106,-3.453703850711463
ddqn,wait-clip,s314,2.025,47.90416666666667,0.6368184754086943,8.897731920421036,2820,56.434397163120565,-3.584814951522276
ddqn,wait-clip,s42,1.9597222222222221,48.294444444444444,0.6570147750719865,8.965013185068287,2820,55.8741134751773,-3.515185306343483
ddqn,wait-clip,s777,22.143055555555556,17432.56527777778,135.13084564389592,4.768797046660533,2390,73.43096234309624,-26.352221427718177
ddqn,wait-clip,s999,2.077777777777778,75.40138888888889,0.9442772204339354,8.85556229091579,2822,57.36357193479802,-3.657407550897915
dqn,pressure,s123,57.84722222222222,246510.41805555555,578.6492114862106,2.6620106441787184,1426,53.69915848527349,-65.8633338912914
dqn,pressure,s314,21.925,32482.24722222222,182.17923690857853,3.8978782247419064,2542,81.40047206923683,-29.619629520573653
dqn,pressure,s42,21.469444444444445,905.8180555555556,15.390990260617638,5.511184262831312,2785,82.56193895870736,-34.74666642677039
dqn,pressure,s777,16.35972222222222,32669.870833333334,191.94960612376065,5.389020621240352,2555,56.05675146771037,-22.626296370959608
dqn,pressure,s999,15.690277777777778,484.9194444444444,8.963913960365245,6.166939283642038,2801,75.84969653695109,-25.56666650477564
dqn,queue,s123,1.8597222222222223,48.69305555555555,0.6568414094638704,8.983921972990945,2820,55.5,-3.331852002971573
dqn,queue,s314,24.875,51857.925,252.64284832566062,4.758119759025007,2449,54.407921600653324,-31.604444985481678
dqn,queue,s42,1.9708333333333334,46.583333333333336,0.630510642622038,8.950700636023065,2822,55.57760453579022,-3.51962976512732
dqn,queue,s777,1.9875,45.6125,0.6165015938843769,8.966893645817244,2824,56.14553824362606,-3.490370504441671
dqn,queue,s999,47.765277777777776,238457.67083333334,500.7761495709988,3.051948312513348,1518,51.525032938076414,-52.04814882739447
dqn,wait-clip,s123,1.8944444444444444,54.270833333333336,0.7185791356868895,9.008543848816899,2822,55.37739192062367,-3.464444585639285
dqn,wait-clip,s314,1.8569444444444445,54.952777777777776,0.7760577931249739,8.9158613613752,2823,56.158342189160464,-3.371111273096176
dqn,wait-clip,s42,26.866666666666667,102716.95833333333,579.9660789919036,3.7220599666691108,2176,53.903952205882355,-31.19185259830556
dqn,wait-clip,s777,2.2430555555555554,58.78333333333333,0.7404124497573112,8.891677049155142,2820,57.02127659574468,-3.8551853360550012
dqn,wait-clip,s999,1.8875,59.96388888888889,0.7375441386399595,8.9749763307034,2824,55.87818696883853,-3.371852008247515
ppo,pressure,s123,27.425,97113.22222222222,558.393814788644,3.7485765286591795,2185,54.4141876430206,-31.00740815140307
ppo,pressure,s314,9.275,288.65277777777777,6.607728279685243,7.056586766719273,2810,68.83451957295374,-17.307407526609797
ppo,pressure,s42,1.9444444444444444,44.47222222222222,0.6186449966205336,8.94888752980356,2817,55.54490592829251,-3.51222238727496
ppo,pressure,s777,2.0097222222222224,53.793055555555554,0.7383981765204235,8.914003298301914,2819,56.296559063497696,-3.548518681753194
ppo,pressure,s999,25.836111111111112,91699.55694444444,538.9500401287539,3.832490385812985,2199,53.860845839017735,-29.345554190833354
ppo,queue,s123,27.406944444444445,99179.01944444445,561.9067197392728,3.7449374371665276,2185,54.267734553775746,-31.040000668232096
ppo,queue,s314,27.494444444444444,99183.0013888889,565.1797469695422,3.672892905104836,2181,55.511233379183864,-31.16222295339685
ppo,queue,s42,2.158333333333333,46.99861111111111,0.651425264492014,8.917466650325665,2820,56.29255319148936,-3.7259260964929126
ppo,queue,s777,24.495833333333334,34145.248611111114,181.87255028590687,4.599490484202388,2513,64.37524870672503,-36.10000005419715
ppo,queue,s999,1.8833333333333333,49.420833333333334,0.7116934391477305,8.967520730102681,2818,55.39567068843151,-3.3807408804714214
ppo,wait-clip,s123,1.8180555555555555,53.46944444444444,0.7707121552434798,9.002072453021745,2822,54.82636428065202,-3.336666810704628
