step,mean_queue,mean_wait,mean_speed
100000,40.31388888888889,1453.3583333333333,2.028316699905676
10000,113.56388888888888,60727.475,1.6335606777556222
110000,34.31666666666667,1223.0972222222222,2.165893834822659
120000,33.18611111111111,1148.95,2.197302263159154
130000,28.325,893.175,2.388533925356593
140000,24.58888888888889,557.5,2.54392042809544
150000,35.56944444444444,986.075,2.080899194004769
160000,39.763888888888886,1660.1777777777777,2.0120395226813765
170000,31.791666666666668,737.0305555555556,2.1948046112999027
180000,59.93888888888889,2855.4305555555557,1.7150283459131852
190000,111.61666666666666,84703.89166666666,0.48150277382820045
200000,70.41111111111111,7581.997222222222,1.473990337274585
20000,58.647222222222226,18713.18611111111,1.6804623434324906
30000,58.81666666666667,18714.86111111111,1.6707271308356733
40000,58.647222222222226,18660.533333333333,1.6738440365126181
50000,58.58611111111111,18713.269444444446,1.6765676930028273
60000,58.03611111111111,14530.452777777778,1.6867393352617632
70000,49.236111111111114,3167.8277777777776,1.7966640817778752
80000,50.80555555555556,4062.775,1.776754967304752
90000,46.90555555555556,2674.9166666666665,1.8261134370523835
999999,58.6,2390.436111111111,1.7661392824245683
