step,mean_queue,mean_wait,mean_speed
100000,63.05277777777778,22172.183333333334,1.621792399254411
10000,113.21111111111111,61078.88888888889,1.619360191264345
110000,58.00277777777778,18652.741666666665,1.6924932993728694
120000,61.40555555555556,21633.341666666667,1.6522133863947102
130000,55.858333333333334,18890.025,1.7915611854301483
140000,62.830555555555556,21992.652777777777,1.6213199439271961
150000,63.33888888888889,24636.366666666665,1.942384214422698
160000,62.93055555555556,22061.055555555555,1.6250726624596807
170000,57.58611111111111,20464.483333333334,1.8664009675012392
180000,60.66388888888889,22051.319444444445,1.7170791897120725
190000,38.31666666666667,1146.5333333333333,1.9448741827255231
200000,62.65,23558.21111111111,1.7762345659779384
20000,113.06666666666666,61143.447222222225,1.6310440835232902
30000,62.775,21927.94722222222,1.6233107212639828
40000,63.166666666666664,22011.555555555555,1.6292641977247881
50000,73.63055555555556,34187.50277777778,1.9297568729856545
60000,62.891666666666666,21885.43611111111,1.623271109572656
70000,45.33888888888889,4400.894444444444,1.8528909430668055
80000,56.125,18751.06388888889,1.7744769851599924
90000,44.47222222222222,5121.347222222223,1.8484276714314838
999999,61.46944444444444,22004.569444444445,1.6933253832412738
