algo,reward,seed,flow,EW Through + Left,EW Right,NS Through + Left,NS Right
ppo,queue-AE-8d,s42,low,0.253,0.081,1.102,0.766
ppo,queue-AE-8d,s777,high,2.849,3.085,2.244,1.933
ppo,queue-AE-8d,s777,low,0.572,0.322,0.463,0.295
ppo,queue-AE-8d,s777,medium,1.018,0.568,0.907,0.53
ppo,queue-AE-4d,s42,high,102.616,95.152,122.655,118.824
ppo,queue-AE-4d,s777,high,90.024,83.685,98.492,92.479
ppo,queue-AE-8d,s123,high,84.93,79.484,90.594,87.957
ppo,queue-AE-8d,s42,high,65.071,65.696,70.927,76.507
ppo,queue,s123,low,0.54,0.327,0.589,0.348
ppo,queue,s123,medium,0.879,0.534,1.029,0.682
ppo,queue,s123,high,2.168,2.327,2.463,2.656
ppo,queue,s42,high,3.356,2.897,3.453,2.845
ppo,queue,s42,medium,1.721,1.147,1.766,1.193
ppo,queue,s42,low,1.006,0.711,1.077,0.687
ppo,queue,s777,low,0.567,0.324,0.533,0.254
ppo,queue,s777,medium,0.998,0.519,0.941,0.602
ppo,queue,s777,high,2.789,2.509,2.23,1.931
