step,mean_queue,mean_wait,mean_speed
100000,39.77777777777778,1716.8805555555555,1.9657006905969714
10000,113.11944444444444,60627.5,1.6280831834440985
110000,39.455555555555556,1526.975,1.9898910596216104
120000,33.94166666666667,1275.036111111111,2.194085596795158
130000,40.09722222222222,1484.1305555555555,1.9858280936065869
140000,39.65833333333333,1613.1694444444445,2.034590009613755
150000,34.233333333333334,1110.1888888888889,2.219796375539334
160000,45.56944444444444,1691.8111111111111,1.8994011763798946
170000,95.91388888888889,54157.89166666667,0.7752631627420442
180000,100.93611111111112,59929.66111111111,0.6913334251131664
190000,106.55277777777778,66531.41388888888,0.5686634255555348
200000,104.33888888888889,68265.98055555555,0.5929844406107958
20000,58.68888888888889,18717.744444444445,1.6782625043363866
30000,58.69722222222222,18715.008333333335,1.6761152630596539
40000,58.75833333333333,18717.069444444445,1.672057205288808
50000,58.672222222222224,18601.408333333333,1.6721232173440286
60000,58.736111111111114,18712.147222222222,1.6770721494343555
70000,57.858333333333334,13304.038888888888,1.6943174567207469
80000,49.1,3090.55,1.7934942249993258
90000,47.897222222222226,2493.8722222222223,1.8117808037128378
999999,118.19444444444444,99575.825,0.29182898942214996
